,ticker,date,time,title,compound
246,FB,2021-02-18,04:29PM  ,"Facebook, Google, Twitter CEOs will testify about misinformation before U.S. Congress",-0.3182
247,FB,2021-02-18,04:29PM  ,"Facebook aims to debunk climate-change myths, slipping into arbiter of truth role Zuckerberg shunned",0.3182
248,FB,2021-02-18,04:13PM  ,"Internet groups, U.S. Chamber sue Maryland over digital advertising tax",0.0
249,FB,2021-02-18,02:00PM  ,Are We Entering the Orwellian Era of 'Nineteen Eighty-Four?',0.0
250,FB,2021-02-18,01:58PM  ,Bill Gates: Permanent Facebook ban of Trump would be 'a shame',-0.7717
251,FB,2021-02-18,12:16PM  ,Facebook shares dip as Wall Street ponders Australia news fallout,0.296
252,FB,2021-02-18,11:09AM  ,"Facebooks Sheryl Sandberg Knew About Inflated Ad-Reach Figures for Years, Lawsuit Claims",-0.2263
253,FB,2021-02-18,11:00AM  ,Climate Crisis: a special conversation with Bill Gates,-0.34
254,FB,2021-02-18,10:01AM  ,Bill Gates: Facebook banning Trump 'forever' would not be 'that good',-0.3412
255,FB,2021-02-18,09:05AM  ,2 Top Growth Stocks to Buy Right Now,0.5267
256,FB,2021-02-18,09:03AM  ,Facebook expands mythbusting centre to tackle climate change conspiracies,0.1027
257,FB,2021-02-18,08:42AM  ,Stocks Retreat As Initial Jobless Claims Unexpectedly Rise,0.2023
258,FB,2021-02-18,08:31AM  ,"UPDATE 1-It's time to get tough with 'bully' Facebook after Australia move, senior UK lawmaker says",-0.128
259,FB,2021-02-18,08:21AM  ,QUOTES-UK lawmaker Knight: 'bully' Facebook must back off or face stern action,0.0
260,FB,2021-02-18,08:11AM  ,"It's time to get tough with Facebook after Australia move, senior UK lawmaker says",-0.128
261,FB,2021-02-18,07:51AM  ,Facebook Blocks News Feed For Users In Australia  Report,-0.2263
262,FB,2021-02-18,07:31AM  ,Facebook shares dip as Wall Street ponders Australia news fallout,0.296
263,FB,2021-02-18,07:18AM  ,#DeleteFacebook: Why people are saying theyre leaving the site  and how to do it,0.0
264,FB,2021-02-18,07:00AM  ,Influencers with Andy Serwer: Larry Tribe,0.0
265,FB,2021-02-18,06:34AM  ,Facebook expands climate change center in push for credible information,0.1027
266,FB,2021-02-18,05:48AM  ,"UPDATE 1-Facebook 'bully' move in Australia shows need for regulation, UK media trade body says",0.0
267,FB,2021-02-18,05:01AM  ,India Startup Crushed by WhatsApp Now Aims to Rival Facebook,-0.4215
268,FB,2021-02-18,03:53AM  ,"Under Pressure From Australia, Facebook and Google Make Opposite Moves",-0.296
269,FB,2021-02-18,03:30AM  ,"BigTech Will Not 'Run' The World, Australian PM Hits Back At Facebook After News-Sharing Ban",-0.5574
270,FB,2021-02-18,03:11AM  ,Facebook Blocks News in Australia in Warning for the World,-0.5106
271,FB,2021-02-18,02:22AM  ,"Anger mounts as Facebook's Australia news ban sweeps up charities, government pages",-0.6249
272,FB,2021-02-18,02:19AM  ,"Anger mounts as Facebook's Australia news ban sweeps up charities, govt pages",-0.6249
273,FB,2021-02-18,02:10AM  ,QUOTES-Reaction to Facebook blocking Australian news,-0.3818
274,FB,2021-02-18,01:44AM  ,"Facebook Blocks Charities, Government Pages in Australia News Spat",0.3182
275,FB,2021-02-18,01:41AM  ,EXPLAINER-Australia's news revenue-sharing law behind battle with Big Tech,-0.3818
276,FB,2021-02-18,01:31AM  ,Facebook Employee Called Inflated Ad Metrics Deeply Wrong,-0.5256
277,FB,2021-02-17,10:39PM  ,QUOTES-Reaction to Facebook blocking Australian news,-0.3818
278,FB,2021-02-17,09:59PM  ,QUOTES-Reaction to Facebook blocking Australian news,-0.3818
279,FB,2021-02-17,08:19PM  ,UPDATE 7-Facebook unfriends Australia: news sites go dark in content row,0.0
280,FB,2021-02-17,08:12PM  ,Facebook Cuts Off News in Australia in Fight Over Payments,-0.5859
281,FB,2021-02-17,07:44PM  ,Facebook unfriends Australia: news sites go dark in content row,0.0
282,FB,2021-02-17,07:32PM  ,"Facebook blocks news from Australia, dozens of public information pages wiped",-0.2263
283,FB,2021-02-17,07:00PM  ,"Facebook reported revenue it should have never made, manager claimed",0.0
284,FB,2021-02-17,07:00PM  ,Facebook ban on news in Australia provokes fierce backlash,-0.7096
285,FB,2021-02-17,05:22PM  ,"Google strikes deals with Australian news publishers, while Facebook cuts off sharing",-0.2263
286,FB,2021-02-17,04:48PM  ,News Corp. and Google Settle Long Pay Fight With Global News Pact,-0.4588
287,FB,2021-02-17,03:56PM  ,Tracking pixels: Concerns raised over grotesque invasion of privacy - and how to know if youre being watched when you open emails,0.0
288,FB,2021-02-17,03:41PM  ,Facebook says it will stop people viewing or sharing news in Australia,0.1531
289,FB,2021-02-17,03:01PM  ,"Facebook Puts New Restrictions On Australian Publishers, Readers",0.0
290,FB,2021-02-17,02:44PM  ,Is Shopify Stock A Buy After Strong Earnings Report?,0.5106
291,FB,2021-02-17,02:26PM  ,"Rupert Murdoch's News Corp., Google reach deal on payments for journalism",0.0258
292,FB,2021-02-17,02:14PM  ,Coronavirus update: Biden administration increases vaccine doses to states; UK approves first human challenge trial,0.4588
293,FB,2021-02-17,02:00PM  ,UPDATE 5-Facebook blocks news content in Australia as it blasts proposed law,-0.2263
294,FB,2021-02-17,01:57PM  ,Facebook Blocks Sharing of News Content in Australia,0.2263
295,FB,2021-02-17,01:56PM  ,Facebook blocks news content in Australia as it blasts proposed law,-0.2263
296,FB,2021-02-17,12:11PM  ,News Corp Strikes 3-Year Deal To Join Google's News Showcase Platform,-0.0772
297,FB,2021-02-17,12:00PM  ,3 Tech Stocks You Can Buy and Hold for the Next Decade,0.0
298,FB,2021-02-17,11:00AM  ,Better Buy: Apple or Facebook,0.4404
299,FB,2021-02-17,09:00AM  ,YouTubes Quick-Video Answer to TikTok Coming to U.S. in March,0.0
